Date,Open,High,Low,Close,Volume
2020-05-27,93.31,96.71,92.88,96.13,1210000
2020-05-28,96.30,96.30,92.70,94.09,1220000
2020-05-29,94.32,98.56,91.50,96.79,3130000
2020-06-01,96.79,97.15,94.75,95.35,789970
2020-06-02,96.11,98.37,95.70,97.04,778690
2020-06-03,98.00,98.81,96.86,98.45,724430
2020-06-04,98.58,98.83,96.13,96.96,863140
2020-06-05,98.39,100.84,98.39,100.03,1020000
2020-06-08,97.04,103.99,97.04,103.62,1380000
2020-06-09,103.62,105.66,100.32,101.55,616520
2020-06-10,100.60,101.90,97.92,98.02,921930
2020-06-11,97.72,99.64,95.51,95.86,555390
2020-06-12,97.04,99.67,97.04,98.72,439160
2020-06-15,98.89,98.96,96.42,97.21,560280
2020-06-16,97.92,101.50,97.92,100.56,757970
2020-06-17,100.56,101.16,99.54,100.11,594020
2020-06-18,99.75,104.39,99.75,104.20,664200
2020-06-19,104.12,106.81,104.12,106.29,2640000
2020-06-22,104.34,104.67,103.54,104.20,399880
2020-06-23,105.56,106.60,104.08,104.68,386350
2020-06-24,103.90,103.90,101.14,102.05,302510
2020-06-25,102.18,102.18,100.10,101.45,392060
2020-06-26,102.23,102.40,98.98,99.66,564970
2020-06-29,100.55,102.09,99.67,100.91,398050
2020-06-30,99.92,101.34,99.53,100.62,664500
2020-07-01,99.78,101.00,99.35,100.25,517820
2020-07-02,101.00,101.71,98.42,99.01,1110000
2020-07-03,99.04,99.04,97.52,97.55,46690
2020-07-06,97.91,100.95,97.61,100.14,500240
2020-07-07,99.56,100.50,98.78,100.30,655650
2020-07-08,101.69,101.69,96.97,97.66,600550
2020-07-09,97.36,98.31,95.42,95.83,674830
2020-07-10,96.30,97.77,95.58,97.44,384500
2020-07-13,97.75,98.07,94.99,95.93,607010
2020-07-14,96.40,96.70,92.68,93.20,637370
2020-07-15,92.96,93.50,92.50,92.83,1100000
2020-07-16,93.06,93.06,91.86,92.34,775680
2020-07-17,92.80,93.71,91.35,93.01,530010
2020-07-20,93.03,93.03,89.92,91.01,746150
2020-07-21,91.38,93.65,90.80,92.84,520669
2020-07-22,92.86,94.99,92.35,94.37,392730
2020-07-23,94.76,95.30,90.10,92.55,529650
2020-07-24,92.80,93.60,91.10,92.96,445240
2020-07-27,92.62,93.00,91.03,92.85,378250
2020-07-28,92.47,93.59,92.46,93.39,637600
2020-07-29,93.27,93.52,91.85,93.05,726590
2020-07-30,92.84,92.93,91.61,92.49,201360
2020-07-31,92.66,92.66,90.24,91.92,833880
2020-08-03,93.04,93.38,90.91,91.31,523840
2020-08-04,91.99,94.00,91.39,92.29,1420000
2020-08-05,91.79,95.39,91.79,94.17,1120000
2020-08-06,94.40,94.76,92.68,93.47,254500
2020-08-07,94.30,94.30,92.94,93.80,182980
2020-08-10,94.26,95.45,93.37,94.10,158810
